LAPORAN REALISASI SP2D TA 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Per Program; Kegiatan; Output; SubOutput; Komponen; SubKomponen; Akun; Item;";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Periode Februari 2026;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Kementerian	:";;;;;;;;;;;;;;054;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Unit Organisasi	";;;;;;;;;;;;;;01;BADAN PUSAT STATISTIK;;;;;;;;;;;;;;;;;;;
"Satuan Kerja   	:";;;;;;;;;;;;;;018839;BADAN PUSAT STATISTIK KAB. MAJALENGKA;;;;;;;;;;;;;Hal 1 dari;;; 44;;;
Uraian;;;;;;;;;;;;;;;;;Pagu Revisi;;Lock Pagu;;Realisasi TA 2026;;;;;;;;;SISA ANGGARAN;;;;
;;;;;;;;;;;;;;;;;;;;;Periode Lalu;;Periode Ini;s.d. Periode ;;;%;;;;;;;
;;;;;;;;;;;;;000090. Honor petugas pendataan lapangan Survei Jasa Penunjang Angkutan (Pergudangan dan Kurir);;;770.000;;0;;;;0;0;;0;;;0,00 %;;770.000;;;;
;;;;;;;524113;;;;;Belanja Perjalanan Dinas Dalam Kota;;;;1.870.000;;0;;;;0;240.000;;240.000;;;12,83 %;;1.630.000;;;;
;;;;;;;;;;;;;000091. Transport lokal petugas Pendataan lapangan dokumen udara III.1;;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000092. Transport lokal petugas pemeriksaan lapangan dokumen pj ii/5;;;170.000;;0;;;;0;120.000;;120.000;;;70,59 %;;50.000;;;;
;;;;;;;;;;;;;000093. transport lokal petugas pemeriksaan Survei Jasa Penunjang Angkutan (Pergudangan dan Kurir);;;340.000;;0;;;;0;0;;0;;;0,00 %;;340.000;;;;
;;;;;;;;;;;;;000094. Transport lokal petugas Pendataan lapangan dokumen angkutan darat PJ II/5;;;170.000;;0;;;;0;120.000;;120.000;;;70,59 %;;50.000;;;;
;;;;;;;;;;;;;000095. Transport lokal petugas pemeriksaan lapangan dokumen udara iii/1;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000096. Transport lokal petugas pemeriksaan lapangan dokumen Kompilasi Data Angkutan Penumpang dan Barang-Jembatan Timbang;;;170.000;;0;;;;0;0;;0;;;0,00 %;;170.000;;;;
;;;;;;;;;;;;;000097. transport lokal petugas pendataan lapangan Survei Jasa Penunjang Angkutan (Pergudangan dan Kurir);;;510.000;;0;;;;0;0;;0;;;0,00 %;;510.000;;;;
;;;;052;;;;;PENGUMPULAN DATA;;;;;;;100.000;;0;;;;0;0;;0;;;0,00 %;;100.000;;;;
;;;;;052.0A;;;;;;TANPA SUB KOMPONEN;;;;;100.000;;0;;;;0;0;;0;;;0,00 %;;100.000;;;;
;;;;;;;521211;;;;;Belanja Bahan;;;;100.000;;0;;;;0;0;;0;;;0,00 %;;100.000;;;;
;;;;;;;;;;;;;000098. Biaya paket data pengumpulan data Survei Jasa Penunjang Angkutan (Pergudangan dan Kurir);;;100.000;;0;;;;0;0;;0;;;0,00 %;;100.000;;;;
;;BMA.006;;;;;;;;PUBLIKASI/LAPORAN SENSUS EKONOMI;;;;;;5.097.035.000;;4.409.516.000;;;;0;4.580.894;;4.580.894;;;0,09 %;;682.938.106;;;;
;;;;005;;;;;Dukungan Penyelenggaraan Tugas dan Fungsi Unit;;;;;;;3.009.353.000;;2.835.446.000;;;;0;4.580.894;;4.580.894;;;0,15 %;;169.326.106;;;;
;;;;;005.0A;;;;;;TANPA SUB KOMPONEN;;;;;3.009.353.000;;2.835.446.000;;;;0;4.580.894;;4.580.894;;;0,15 %;;169.326.106;;;;
;;;;;;;521213;;;;;Belanja Honor Output Kegiatan;;;;2.884.415.000;;2.834.027.000;;;;0;0;;0;;;0,00 %;;50.388.000;;;;
